Ten,Ma CK,San Giao Dich,Close,Open,% Thay doi,Khoi luong,Thoi gian
US Dollar Index,DXY,NYSE,106.17,106.15,-0.05%,-,29/09
STEEL HRC FOB CHINA,MHCc1,LON,547.50,547.50,+1.01%,-,29/09
Brent Oil,LCO,ICE,92.09,93.19,-1.08%,201.88K,29/09
SHS,SHS,HN,"17,200.0","17,500.0",-1.15%,21.49M,29/09
Hua Na Hydropower,HNA,HN,"17,700","17,700",+1.72%,0.40K,29/09
Viet Capital,VCI,HM,"41,250.0","42,800.0",-2.02%,6.09M,29/09
Vietnam Joint Stock Commercial Bank,CTG,HM,"30,050.0","30,550.0",-2.59%,5.35M,29/09
Nam Long Investment Corp,NLG,HM,"35,000.0","36,000.0",-1.55%,1.80M,29/09
Vietcombank,VCB,HM,"87,500","88,300",-0.57%,449.30K,29/09
SSI Securities,SSI,HM,"31,800.0","32,900.0",-1.55%,19.99M,29/09
Mobile World Investment Corp,MWG,HM,"52,140","53,800",-0.75%,4.95M,29/09
Ba Ria Vung Tau House Development,HDC,HM,"30,800.0","31,600.0",-0.96%,1.65M,29/09
Hoasen Group,HSG,HM,"20,000.0","20,500.0",-1.48%,8.45M,29/09
Hoa Phat Group JSC,HPG,HM,"26,450.0","26,800.0",-1.13%,15.02M,29/09
Ho Chi Minh City Securities Corp,HCM,HM,"30,550.0","31,250.0",-0.97%,4.03M,29/09
Deo Ca Traffic Infrastructure Investment JSC,HHV,HM,"15,750","16,200",-0.94%,5.77M,29/09
Ha Do Group JSC,HDG,HM,"28,150.0","28,350.0",-0.53%,1.16M,29/09
Nam Kim Steel JSC,NKG,HM,"19,750.0","20,100.0",-0.75%,4.91M,29/09
Dat Xanh Real Estate Service Contr,DXG,HM,"18,900.0","19,250.0",-0.53%,11.58M,29/09
Sai Gon Thuong Tin Commercial,STB,HM,"30,650.0","31,000.0",+-0.33%,12.28M,29/09
Bank for Investment and Development,BID,HM,"44,350.0","44,400.0",+0.00%,542.60K,29/09
VNDIRECT Securities,VND,HM,"21,000.0","21,300.0",+-0.24%,17.39M,29/09
Binh Thanh Import Export Production,GIL,HM,"31,900.0","32,500.0",+0.16%,1.10M,29/09
Lizen JSC,LCG,HM,"12,150.0","12,450.0",+0.41%,4.40M,29/09
VINACONEX,VCG,HM,"24,150.0","24,450.0",+0.84%,8.85M,29/09
Phu Nhuan Jewelry JSC,PNJ,HM,"79,000.0","78,500.0",+0.38%,136.60K,29/09
Ho Chi Minh City Infrastructure Inv,CII,HM,"19,300.0","19,000.0",+2.66%,7.67M,29/09
Vietnam Prosperity,VPB,HM,"21,700.0","21,300.0",+2.36%,8.45M,29/09
FPT Securities,FTS,HM,"43,500.0","43,800.0",+1.16%,2.56M,29/09
Development Investment Construction,DIG,HM,"24,500.0","24,950.0",+2.45%,17.03M,29/09
Techcombank,TCB,HM,"35,000.0","33,500.0",+4.01%,2.91M,29/09
FPT Digital,FRT,HM,"89,000.0","86,100.0",+4.46%,1.62M,29/09
