Ten,Ma CK,San Giao Dich,Close,Open,% Thay doi,Khoi luong,Thoi gian
Binh Thanh Import Export Production,GIL,HM,"32,650.0","31,950.0",+2.35%,1.19M,03:45:06
Phu Nhuan Jewelry JSC,PNJ,HM,"78,900.0","78,800.0",+0.13%,270.90K,03:45:03
FPT Digital,FRT,HM,"90,000.0","89,000.0",+1.12%,465.00K,03:45:01
Mobile World Investment Corp,MWG,HM,"52,000","52,600",-1.33%,4.21M,
Deo Ca Traffic Infrastructure Investment JSC,HHV,HM,"16,500","15,950",+4.76%,6.76M,03:45:01
Lizen JSC,LCG,HM,"12,500.0","12,350.0",+2.88%,6.98M,03:45:02
Ho Chi Minh City Infrastructure Inv,CII,HM,"19,800.0","19,300.0",+2.59%,6.15M,03:45:01
VINACONEX,VCG,HM,"24,850.0","24,250.0",+2.90%,6.95M,03:45:07
Hua Na Hydropower,HNA,HN,"17,600","17,600",-0.56%,0.60K,01:00:00
Ba Ria Vung Tau House Development,HDC,HM,"31,000.0","30,800.0",+0.65%,949.30K,03:45:01
Ha Do Group JSC,HDG,HM,"28,200.0","28,150.0",0.18%,759.10K,03:45:04
Nam Long Investment Corp,NLG,HM,"34,700.0","35,000.0",-0.86%,517.80K,03:45:01
Dat Xanh Real Estate Service Contr,DXG,HM,"19,250.0","18,900.0",+0.79%,9.11M,03:49:14
Development Investment Construction,DIG,HM,"25,100.0","25,100.0",0.00%,7.94M,03:45:02
Nam Kim Steel JSC,NKG,HM,"19,900.0","19,750.0",+0.76%,4.30M,03:45:07
Hoasen Group,HSG,HM,"20,300.0","20,150.0",+0.50%,6.92M,03:50:26
Hoa Phat Group JSC,HPG,HM,"24,500.0","26,300.0",-0.38%,11.41M,
Vietnam Prosperity,VPB,HM,"21,800.0","21,600.0",+0.46%,11.27M,
Sai Gon Thuong Tin Commercial,STB,HM,"30,650.0","30,750.0",+0.65%,10.89M,
Vietnam Joint Stock Commercial Bank,CTG,HM,"29,950.0","30,100.0",-0.33%,5.33M,03:45:01
Techcombank,TCB,HM,"33,150.0","33,650.0",-1.49%,2.14M,
Bank for Investment and Development,BID,HM,"43,950.0","44,350.0",-0.90%,688.10K,03:45:02
Vietcombank,VCB,HM,"86,500","87,100",-1.14%,765.70K,03:45:04
FPT Securities,FTS,HM,"42,650.0","43,000.0",-1.95%,1.97M,03:45:02
SHS,SHS,HN,"17,400.0","17,200.0",+1.16%,16.07M,03:45:00
Viet Capital,VCI,HM,"41,800.0","41,700.0",+1.33%,3.01M,03:45:03
Ho Chi Minh City Securities Corp,HCM,HM,"32,600.0","30,400.0",+1.80%,3.58M,03:45:55
VNDIRECT Securities,VND,HM,"21,100.0","21,000.0",+0.48%,12.29M,03:45:05
SSI Securities,SSI,HM,"32,100.0","31,800.0",+0.94%,17.21M,
US Dollar Index,DXY,NYSE,106.84,106.17,+0.58%,-,13:21:00
STEEL HRC FOB CHINA,MHCc1,LON,547.50,547.50,+1.01%,-,29/09
Brent Oil,LCO,ICE,90.78,92.51,-1.54%,351.64K,13:31:05
